"","X","grid","monitoring_period","common_name","Range","Year","GridYear","Dist","AnthroDistPerc","EVI","MFADim1","MFADim2","PCADim1","PCADim2","MFAwLag","PCA1wLagNo","PCA2wLagNo","PCA1wLag1Y","PCA2wLag1Y","MFADim1No2016","MFADim2No2016","MFAD1wLag","MFAD2wLag"
"11",11,"CHR","monitor_2018","White-tailed Deer","ESAR",2018,"CHR2018",12.1003310810811,95.7464682658615,1209.724066,-0.254525784869995,0.379873197476802,2.03931081379067,2.19719281253305,0.0124918416893851,0.493343644475195,-0.396933628981753,0.533928199498187,-0.0809221013858071,-0.340684321499879,0.353670837100357,0.0124918416893851,0.0966539115617314
"12",12,"DEW","monitor_2018","White-tailed Deer","SK",2018,"DEW2018",12.8122865796374,58.3488517423251,1645.996228,0.35477442861542,-1.90609213590712,1.34275434786271,1.87126842863521,0.086562832039092,0.167219670537146,-0.226279441061175,1.32656535169176,-1.14070036717248,0.46624858229595,-2.10183989338513,0.086562832039092,-2.20693852058421
"13",13,"FMM","monitor_2018","White-tailed Deer","ESAR",2018,"FMM2018",4.88139295774648,89.7117171311496,1396.781418,2.29139271554327,3.13912304961686,1.40688078306334,1.50496593341619,2.16559538228799,-0.0525474152631001,-1.17054823831196,-1.16189411433928,0.437830875361911,2.16071806624842,3.15554762614795,2.16559538228799,2.62106005516906
"14",14,"LID","monitor_2018","White-tailed Deer","CL",2018,"LID2018",0.436435616438356,39.173340989433,1530.562836,-1.50263951651356,-1.39592353728436,1.59409968225711,1.96533475199288,-1.15535736755228,0.397406362729474,-0.0857005920941191,1.1747481078689,-1.0560702035604,-1.49827283409616,-1.50964029876242,-1.15535736755228,-0.920318579984575
"15",15,"LLB","monitor_2018","White-tailed Deer","ESAR",2018,"LLB2018",15.5714458333333,94.3393326752579,1538.911509,-2.2311805977416,0.528225659541379,2.05759193491029,1.14557937730544,-1.86887962884857,0.982030656837917,-0.180540985799868,1.18278310165804,-1.60903710433317,-2.25613533213122,0.60045944884269,-1.86887962884857,0.408370354355706
"16",16,"LRN","monitor_2018","White-tailed Deer","SK",2018,"LRN2018",0.392577981616032,25.3658427876357,1157.846197,2.27554580017575,-2.6453238089885,0.765698264358887,1.93585378712092,1.90296559440221,-0.40726269641508,-0.502902507972473,0.459339992448997,-0.969349431074658,2.44789600332006,-2.82793581586086,1.90296559440221,-2.33138531829438
"17",17,"MAC","monitor_2018","White-tailed Deer","WSAR",2018,"MAC2018",2.77614927536232,66.6807193870131,1387.341398,3.97029227280717,3.37963788102662,0.477829014961258,1.77517998568709,3.83848103758744,-1.11655956198611,-1.44390222987107,-1.80753940072795,0.277080238875032,3.91757859563447,3.48551548881254,3.83848103758744,2.77988033495819
"18",18,"MCC","monitor_2018","White-tailed Deer","SK",2018,"MCC2018",0.0868084357931551,26.7544951028706,1354.518868,3.14651623195217,-0.885173438009082,0.950461932277877,2.55710701558772,2.8155785350533,-0.639782441462083,-0.670873565318798,0.274553798514457,-1.29405747563973,3.0975979786523,-1.15805611900661,2.8155785350533,-1.04323411046015
"19",19,"WAB","monitor_2018","White-tailed Deer","WSAR",2018,"WAB2018",3.57799710144928,94.2186016488026,1084.251363,2.11755358350631,3.08865561131076,1.18058478457112,1.80221520280938,1.93095167806008,-0.362189704569197,-1.30658102165702,-1.64075780291607,0.111278220595206,1.92245803562517,3.37548614151805,1.93095167806008,3.18830172007283
"20",20,"AUB","monitor_2019","White-tailed Deer","SK",2019,"AUB2019",13.1816372175628,69.0662666381191,1740.583425,0.616709153455205,-3.16964686856902,-0.928572106833768,0.950711527159207,0.683235742312722,-1.45342201974583,1.87298718597752,-0.137620732321381,-0.236787497379182,0.894354762224933,-2.84538357536125,0.683235742312722,-2.92745830577519
"21",21,"CAL","monitor_2019","White-tailed Deer","WSAR",2019,"CAL2019",14.5878569444444,98.7330050155603,1678.715897,-6.14061113549254,1.18551680999229,3.84711163966877,0.190356001576612,-6.12387170336505,3.30999559007575,1.47967950445515,2.5097113319363,-1.1292243721104,-6.1761516333386,0.902888935517722,-6.12387170336505,1.18438993658332
"22",22,"CHR","monitor_2019","White-tailed Deer","ESAR",2019,"CHR2019",12.1003310810811,95.7464682658615,920.1607884,-0.254525784869995,0.379873197476802,0.309635095452824,0.889658783669107,0.0124918416893851,-0.346464970449762,0.719934308832309,0.493343644475195,-0.396933628981753,-0.340684321499879,0.353670837100357,0.0124918416893851,0.0966539115617314
"23",23,"DEW","monitor_2019","White-tailed Deer","SK",2019,"DEW2019",12.8122865796374,58.3488517423251,1273.97306,0.35477442861542,-1.90609213590712,-0.307160699645402,0.613781267740082,0.086562832039092,-0.727031238842346,1.44280007316512,0.167219670537146,-0.226279441061175,0.46624858229595,-2.10183989338513,0.086562832039092,-2.20693852058421
"24",24,"FMM","monitor_2019","White-tailed Deer","ESAR",2019,"FMM2019",4.88139295774648,89.7117171311496,1314.223416,2.29139271554327,3.13912304961686,-0.511627502443075,1.02898863648239,2.16559538228799,-1.43811478522255,-0.0779450490463292,-0.0525474152631001,-1.17054823831196,2.16071806624842,3.15554762614795,2.16559538228799,2.62106005516906
"25",25,"LID","monitor_2019","White-tailed Deer","CL",2019,"LID2019",0.436435616438356,39.173340989433,1292.513426,-1.50263951651356,-1.39592353728436,0.437974349682472,-0.239868209941591,-1.15535736755228,0.0116860079271641,0.326088482875643,0.397406362729474,-0.0857005920941191,-1.49827283409616,-1.50964029876242,-1.15535736755228,-0.920318579984575
"26",26,"LLB","monitor_2019","White-tailed Deer","ESAR",2019,"LLB2019",15.5714458333333,94.3393326752579,1841.491857,-2.2311805977416,0.528225659541379,1.7689246588422,0.482987874981831,-1.86887962884857,0.966884336095618,0.744006272950792,0.982030656837917,-0.180540985799868,-2.25613533213122,0.60045944884269,-1.86887962884857,0.408370354355706
"27",27,"LRN","monitor_2019","White-tailed Deer","SK",2019,"LRN2019",0.392577981616032,25.3658427876357,956.795302,2.27554580017575,-2.6453238089885,-1.30013959322481,1.04179078761876,1.90296559440221,-1.75911444444912,1.71558531241193,-0.40726269641508,-0.502902507972473,2.44789600332006,-2.82793581586086,1.90296559440221,-2.33138531829438
"28",28,"MAC","monitor_2019","White-tailed Deer","WSAR",2019,"MAC2019",2.77614927536232,66.6807193870131,1166.584409,3.97029227280717,3.37963788102662,-1.43895294607661,1.32717560967393,3.83848103758744,-2.41459752892141,-0.364163535686709,-1.11655956198611,-1.44390222987107,3.91757859563447,3.48551548881254,3.83848103758744,2.77988033495819
"29",29,"MCC","monitor_2019","White-tailed Deer","SK",2019,"MCC2019",0.0868084357931551,26.7544951028706,451.3553459,3.14651623195217,-0.885173438009082,-1.17314461504126,1.61558046615478,2.8155785350533,-1.91912947100156,1.48622924861508,-0.639782441462083,-0.670873565318798,3.0975979786523,-1.15805611900661,2.8155785350533,-1.04323411046015
"30",30,"WAB","monitor_2019","White-tailed Deer","WSAR",2019,"WAB2019",3.57799710144928,94.2186016488026,1228.633043,2.11755358350631,3.08865561131076,-0.555242092196771,1.01498202635846,1.93095167806008,-1.24857380529011,0.108259037910235,-0.362189704569197,-1.30658102165702,1.92245803562517,3.37548614151805,1.93095167806008,3.18830172007283
"31",31,"AUB","monitor_2020","White-tailed Deer","SK",2020,"AUB2020",13.1816372175628,69.0662666381191,2157.277168,0.616709153455205,-3.16964686856902,1.28583400003076,0.312398216119145,0.683235742312722,0.109619193017483,-1.57230815672158,-1.45342201974583,1.87298718597752,0.894354762224933,-2.84538357536125,0.683235742312722,-2.92745830577519
"32",32,"CHR","monitor_2020","White-tailed Deer","ESAR",2020,"CHR2020",12.1003310810811,95.7464682658615,1379.01971,-0.254525784869995,0.379873197476802,1.32140096691808,-0.313670726169658,0.0124918416893851,0.464586277186236,-1.69474597588624,-0.346464970449762,0.719934308832309,-0.340684321499879,0.353670837100357,0.0124918416893851,0.0966539115617314
"33",33,"DEW","monitor_2020","White-tailed Deer","SK",2020,"DEW2020",12.8122865796374,58.3488517423251,1587.578664,0.35477442861542,-1.90609213590712,0.0612852869261673,-0.332560778641519,0.086562832039092,-0.596369747045195,-1.73800835618897,-0.727031238842346,1.44280007316512,0.46624858229595,-2.10183989338513,0.086562832039092,-2.20693852058421
"34",34,"FMM","monitor_2020","White-tailed Deer","ESAR",2020,"FMM2020",4.88139295774648,89.7117171311496,1369.838346,2.29139271554327,3.13912304961686,-0.821372542696537,-2.22269624495768,2.16559538228799,-0.646879914827676,-2.424702398263,-1.43811478522255,-0.0779450490463292,2.16071806624842,3.15554762614795,2.16559538228799,2.62106005516906
"35",35,"LID","monitor_2020","White-tailed Deer","CL",2020,"LID2020",0.436435616438356,39.173340989433,1081.439313,-1.50263951651356,-1.39592353728436,1.54358356062199,0.307544159276893,-1.15535736755228,0.325412247411946,-1.68503124955916,0.0116860079271641,0.326088482875643,-1.49827283409616,-1.50964029876242,-1.15535736755228,-0.920318579984575
"36",36,"LLB","monitor_2020","White-tailed Deer","ESAR",2020,"LLB2020",15.5714458333333,94.3393326752579,2405.316504,-2.2311805977416,0.528225659541379,1.54288172639328,-0.960960961582348,-1.86887962884857,0.815238588694458,-2.02411286413022,0.966884336095618,0.744006272950792,-2.25613533213122,0.60045944884269,-1.86887962884857,0.408370354355706
"37",37,"LRN","monitor_2020","White-tailed Deer","SK",2020,"LRN2020",0.392577981616032,25.3658427876357,931.3394855,2.27554580017575,-2.6453238089885,-1.03708674092698,0.0246495887168825,1.90296559440221,-1.804234550269,-2.06173289121725,-1.75911444444912,1.71558531241193,2.44789600332006,-2.82793581586086,1.90296559440221,-2.33138531829438
"38",38,"MAC","monitor_2020","White-tailed Deer","WSAR",2020,"MAC2020",2.77614927536232,66.6807193870131,1534.987634,3.97029227280717,3.37963788102662,-0.815370083946052,-1.52236279534618,3.83848103758744,-0.812184937576787,-2.17379251622847,-2.41459752892141,-0.364163535686709,3.91757859563447,3.48551548881254,3.83848103758744,2.77988033495819
"39",39,"MAL","monitor_2020","White-tailed Deer","SK",2020,"MAL2020",3.60684758551523,34.1175045078641,2397.36804,1.00613817339928,-2.83301553219587,0.561925384950106,-0.12225731996475,0.967139364855722,-0.661936644694008,-2.42173379140086,-1.02742497719659,0.827023176376899,1.14208008882157,-2.37064173524744,0.967139364855722,-1.67942615029246
"40",40,"MCC","monitor_2020","White-tailed Deer","SK",2020,"MCC2020",0.0868084357931551,26.7544951028706,725.3679245,3.14651623195217,-0.885173438009082,-1.18557452689095,0.0157609964369133,2.8155785350533,-1.94436652904719,-2.06057719543574,-1.91912947100156,1.48622924861508,3.0975979786523,-1.15805611900661,2.8155785350533,-1.04323411046015
"41",41,"PEL","monitor_2020","White-tailed Deer","WSAR",2020,"PEL2020",2.41892222222222,95.5912262930765,2253.208515,-5.64996532483687,1.13414311198923,2.7769881717664,-0.185103425643943,-5.25489330852204,2.20226929609605,0.265681003413354,2.87463190752061,1.96051092441276,-5.77768799175699,0.939928959684419,-5.25489330852204,0.830104672690128
"42",42,"WAB","monitor_2020","White-tailed Deer","WSAR",2020,"WAB2020",3.57799710144928,94.2186016488026,1214.891494,2.11755358350631,3.08865561131076,-0.354182003999233,-1.48869753944992,1.93095167806008,-0.337712101224155,-1.80718945009124,-1.24857380529011,0.108259037910235,1.92245803562517,3.37548614151805,1.93095167806008,3.18830172007283
"43",43,"AUB","monitor_2021","White-tailed Deer","SK",2021,"AUB2021",13.1816372175628,69.0662666381191,2289.077387,0.616709153455205,-3.16964686856902,-3.14749670520208,0.0156519101278218,0.683235742312722,-2.63840848244295,2.45780412644399,0.109619193017483,-1.57230815672158,0.894354762224933,-2.84538357536125,0.683235742312722,-2.92745830577519
"44",44,"CHR","monitor_2021","White-tailed Deer","ESAR",2021,"CHR2021",12.1003310810811,95.7464682658615,1228.184647,-0.254525784869995,0.379873197476802,-2.6971721362504,1.46781993775842,0.0124918416893851,-3.26988695976774,1.15192388477607,0.464586277186236,-1.69474597588624,-0.340684321499879,0.353670837100357,0.0124918416893851,0.0966539115617314
"45",45,"FMM","monitor_2021","White-tailed Deer","ESAR",2021,"FMM2021",4.88139295774648,89.7117171311496,1507.451665,2.29139271554327,3.13912304961686,-4.09733767206171,1.19551400627319,2.16559538228799,-4.22650936304127,0.999733458214248,-0.646879914827676,-2.424702398263,2.16071806624842,3.15554762614795,2.16559538228799,2.62106005516906
"46",46,"LID","monitor_2021","White-tailed Deer","CL",2021,"LID2021",0.436435616438356,39.173340989433,1609.129431,-1.50263951651356,-1.39592353728436,-1.55068477787022,1.31564487491873,-1.15535736755228,-2.3108153982206,0.758656274191712,0.325412247411946,-1.68503124955916,-1.49827283409616,-1.50964029876242,-1.15535736755228,-0.920318579984575
"47",47,"LLB","monitor_2021","White-tailed Deer","ESAR",2021,"LLB2021",15.5714458333333,94.3393326752579,1915.590662,-2.2311805977416,0.528225659541379,-0.901634453319704,1.88440187008503,-1.86887962884857,-2.19390821007859,1.15192632017295,0.815238588694458,-2.02411286413022,-2.25613533213122,0.60045944884269,-1.86887962884857,0.408370354355706
"48",48,"LRN","monitor_2021","White-tailed Deer","SK",2021,"LRN2021",0.392577981616032,25.3658427876357,938.1236018,2.27554580017575,-2.6453238089885,-3.91461301316187,-1.09217424130139,1.90296559440221,-3.05102110008045,1.44563179023999,-1.804234550269,-2.06173289121725,2.44789600332006,-2.82793581586086,1.90296559440221,-2.33138531829438
"49",49,"MAC","monitor_2021","White-tailed Deer","WSAR",2021,"MAC2021",2.77614927536232,66.6807193870131,1352.934946,3.97029227280717,3.37963788102662,-3.6750007071237,1.68888427959324,3.83848103758744,-3.98743367260942,1.56754855092724,-0.812184937576787,-2.17379251622847,3.91757859563447,3.48551548881254,3.83848103758744,2.77988033495819
"50",50,"MAL","monitor_2021","White-tailed Deer","SK",2021,"MAL2021",3.60684758551523,34.1175045078641,2809.905345,1.00613817339928,-2.83301553219587,-5.97463383329241,-0.83610992089194,0.967139364855722,-5.22718222240159,1.11777030853112,-0.661936644694008,-2.42173379140086,1.14208008882157,-2.37064173524744,0.967139364855722,-1.67942615029246
"51",51,"MCC","monitor_2021","White-tailed Deer","SK",2021,"MCC2021",0.0868084357931551,26.7544951028706,943.418239,3.14651623195217,-0.885173438009082,-3.47587459423931,-0.42079719459751,2.8155785350533,-3.19367882505065,0.994103926744157,-1.94436652904719,-2.06057719543574,3.0975979786523,-1.15805611900661,2.8155785350533,-1.04323411046015
"52",52,"PEL","monitor_2021","White-tailed Deer","WSAR",2021,"PEL2021",2.41892222222222,95.5912262930765,1802.534389,-5.64996532483687,1.13414311198923,0.859393282358461,0.10424479874433,-5.25489330852204,-0.188031005407428,-0.260626778680853,2.20226929609605,0.265681003413354,-5.77768799175699,0.939928959684419,-5.25489330852204,0.830104672690128
"53",53,"WAB","monitor_2021","White-tailed Deer","WSAR",2021,"WAB2021",3.57799710144928,94.2186016488026,1287.601418,2.11755358350631,3.08865561131076,-2.99593628685274,1.13685222219835,1.93095167806008,-3.36502695609715,0.66145646777904,-0.337712101224155,-1.80718945009124,1.92245803562517,3.37548614151805,1.93095167806008,3.18830172007283
